,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
319,1305175935331823616,2020-09-13 16:06:06,"Additionally, you can watch the Shout! Factory TV 24/7 channel on Comcast Xfinity, IMDb TV, Pluto, Redbox, Samsung TV Plus, STIRR, Twitch, Vizio, and XUMO https://t.co/8RxjNmjm6L",ShoutFactoryTV,,,"Los Angeles, CA",en
1744,1305176772292599808,2020-09-13 16:09:26,"@SpotifyCares I have a 6 month free trial for Spotify Premium with my new Samsung phone purchase. When I try to activate it, I am given the message that I can't use it because a ""trial offer"" has already been used...which is not the case.",CRNA2020,,,"Reality, USA",en
4979,1305177049041166341,2020-09-13 16:10:32,Does anyone know if they were planning on restocking the Samsung BTS phones? I couldn't justify it when they were on sale but my mom broke my phone 😅😭 I'd hate to replace it just to find out they have the BTS phone again. @SamsungMobile? 😬,mashka288,,,Upstate NY,en
1743,1305181728802136064,2020-09-13 16:29:07,"If you haven't yet, please like &amp; comment on the Samsung AD!

Our Jin looks so cool! 

•https://t.co/284RxlMvL8

#방탄소년단진 #방탄진 #진 #석진 #JIN #BTSJIN #SEOKJIN 
#ジン #金碩珍 @BTS_twt",USSeokjinnie,,,United States,en
5298,1305184285062656000,2020-09-13 16:39:17,"This is so Jinkook. Samsung really knows them.

GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/MquOp6p8XC via @YouTube",OT7_pjm,,,california,en
3465,1305185216907091969,2020-09-13 16:42:59,"Samsung Galaxy Buds Live review - Unique design with perfect fit, finally! https://t.co/kQ0BCn7LOR #gogitech #samsung #SamsungBudsLive #GalaxyBudsLive",jagi4ulove,,,jal,en
318,1305186225486049280,2020-09-13 16:47:00,@ATTHelp How do I select more than one game to watch on my new Samsung tv. https://t.co/4KPJDObmKH,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,en
317,1305187461916622849,2020-09-13 16:51:54,@ATTHelp how do I watch multiple games on my new Samsung TV? https://t.co/9XLKV3aHVV,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,en
1742,1305187502811037697,2020-09-13 16:52:04,Why is no one talking about @BTS_twt Jungkook and Jin dance battle???? GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/Q1MF6QbnGT via @YouTube,cale918,,,United States,en
5297,1305188569254772736,2020-09-13 16:56:18,"Samsung Galaxy J3 Orbit &gt; Phones &gt; 6dayspecial – Works with only : Pageplus &amp; Totalwireless&amp;nbsp; In the box:&amp;nbsp; Phone , Charger only&amp;nbsp; Color: Black Memory storage: 16GB OS: Android 8.0 Oreo Display: 5.0 https://t.co/dtSarXEihW https://t.co/YObF5O6HWo",Info6dayspecial,,,"columbus , oh",en
5057,1305189685283622912,2020-09-13 17:00:44,"NEW VIDEO!! My Note 20 Ultra review is here! Did Samsung fail me again? 
https://t.co/P0HFAlzbIj https://t.co/HrfCbNBNxD",LinusTech,,,"Vancouver, BC",en
1098,1305190536928780289,2020-09-13 17:04:07,@peacockTV This app is a joke! No app for almost all smart TVs including my Samsung and no way to watch on Roku or Firestick. Force me to pay to watcy EPL matches on my tiny smart phone screen. NBC Gold was actually decent. Thanks NBC. I hope you lose the PL rights soon!,calvinros,,,"Miami, FL",en
4180,1305193182251094016,2020-09-13 17:14:38,"Samsung is insane for doing this
https://t.co/Ac2FQki5rX",MiniChimChim,,,Dominican Republic,en
316,1305197878197891072,2020-09-13 17:33:18,GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/1UP53l6tIL via @YouTube                         The best duo #Jinkook,itsme_charlynb,,,"San Jose, CA",en
4641,1305202115443412994,2020-09-13 17:50:08,New video by Linus Tech Tips: Did Samsung Fail Me Again? - Note 20 Ultra Review https://t.co/Ru9pe1EoDB,DJJademan,,,Ireland,en
2546,1305202406125449217,2020-09-13 17:51:17,I guess I'm done using my old Samsung Galaxy S6 as a dedicated PokemonGO device. https://t.co/MLRs5A6yHv,becklo,,,Detroit,en
2580,1305202589865250819,2020-09-13 17:52:01,Linus Tech Tips: Did Samsung Fail Me Again? - Note 20 Ultra Review https://t.co/FSnmAslaPz,MysticmasterFIN,,,Finland,en
2953,1305202994108006400,2020-09-13 17:53:37,GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung 😳💜😍💜🤩 https://t.co/coXJtnXjSg,NoImagitation,,,United States,en
1831,1305204762267312128,2020-09-13 18:00:39,This Samsung Galaxy s20 is a marvel! It’s 6.2” screen rivals an HDTV. The camera is a whopping 108mp! It is 5G capable with our new rate plans! https://t.co/1cc4zT9cq5,Cricket81994773,,Cricket Wireless Authorized Retailer,,en
5056,1305205198042750977,2020-09-13 18:02:23,I think @Samsung’s experience shipping TVs directly translates to having the best cutting edge &amp; highest quality displays in their mobile devices. Mad props to the Note 20 Ultra.,itsmrcovert,,,"Seattle, WA",en
1380,1305207586988449793,2020-09-13 18:11:52,@MangoDuckie @RyanPhillippe Oh you got a new phtoo??? 🤔🤔🤔 I recently upgraded from the Samsung Galaxy Note 10 Plus to the  new Samsung Galaxy Note 20 Ultra 5G which is a size big old phone atv6.9 inch display screen. So I can seen the new phone problems.,CynthiaJSimmons,,,"Rockford, Illinois",en
150,1305208131358568448,2020-09-13 18:14:02,"Last post before bed today.

Got a new Samsung Galaxy A01 and need a wallpaper for it. Obviously I plan on putting Rosy there, but I want a new pic but can't think of any poses. If anyone cares to, could you drop some pics of poses you think would work for a phone wallpaper?",JoshTarwater,,,"Tucson, AZ, USA",en
1565,1305209299938009088,2020-09-13 18:18:41,@taerouge Like all these for a phone? Okay Samsung,euphoriankookie,,,Texas,en
4978,1305209833176674305,2020-09-13 18:20:48,"My phone locked me out, and I had to call Samsung's security team. I spent an hour on hold with the Guardians of the Galaxy... #zinger #superherohumor #nflsunday #welldonetoffees",TsarWillis,,,"Pembroke, MA",en
5055,1305211927107305473,2020-09-13 18:29:07,https://t.co/nEW7CJSeE8 holy crap Samsung...I don't even have words for this masterpiece of an ad. Hotdang. #jinkook #GalaxyNote20,echokomo,,,"Burnaby, BC",en
5295,1305212956586639360,2020-09-13 18:33:13,@sopesandwich I could watch these Samsung commercials over and over.  They look amazing!,nevermindtatt00,,,california ,en
93,1305213387362709510,2020-09-13 18:34:55,Did Samsung Fail Me Again? - Note 20 Ultra Review https://t.co/zC6KdhQueP via @YouTube,Officialne0tic,,,Sweden,en
